afac_city,afac_country,airport_iata,match_method,city_spread_km
TULSA,Estados Unidos,RVS,city_exact,19.6
TULSA,Estados Unidos,TUL,city_exact,19.6
WASHINGTON,Estados Unidos,DCA,override_airport,37.6
WASHINGTON,Estados Unidos,IAD,override_airport,37.6
PARIS,Francia,CDG,override_airport,34.2
PARIS,Francia,ORY,override_airport,34.2
GUATEMALA,Guatemala,GUA,override_city,0.0
HONG KONG,HONG KONG,HKG,city_exact,0.0
COMAYAGUA,Honduras,XPL,override_airport,0.0
SAN PEDRO SULA,Honduras,SAP,city_exact,0.0
DUBLIN,Irlanda,DUB,city_exact,0.0
MILAN,Italia,LIN,override_airport,47.4
MILAN,Italia,MXP,override_airport,47.4
ROMA,Italia,CIA,override_city,28.5
ROMA,Italia,FCO,override_city,28.5
TOKYO,Japon,HND,override_airport,59.6
TOKYO,Japon,NRT,override_airport,59.6
LUXEMBURGO,Luxemburgo,LUX,override_city,0.0
ACAPULCO,Mexico,ACA,domestic_crosswalk,0.0
AGUASCALIENTES,Mexico,AGU,domestic_crosswalk,0.0
CANCUN,Mexico,CUN,domestic_crosswalk,0.0
CHIHUAHUA,Mexico,CUU,domestic_crosswalk,0.0
COZUMEL,Mexico,CZM,domestic_crosswalk,0.0
CULIACAN,Mexico,CUL,domestic_crosswalk,0.0
DEL BAJIO,Mexico,BJX,domestic_crosswalk,0.0
DURANGO,Mexico,DGO,domestic_crosswalk,0.0
GUADALAJARA,Mexico,GDL,domestic_crosswalk,0.0
HERMOSILLO,Mexico,HMO,domestic_crosswalk,0.0
HUATULCO,Mexico,HUX,domestic_crosswalk,0.0
IXTAPA ZIHUATANEJO,Mexico,ZIH,domestic_crosswalk,0.0
LA PAZ,Mexico,LAP,domestic_crosswalk,0.0
LORETO,Mexico,LTO,domestic_crosswalk,0.0
MANZANILLO,Mexico,ZLO,domestic_crosswalk,0.0
MAZATLAN,Mexico,MZT,domestic_crosswalk,0.0
MERIDA,Mexico,MID,domestic_crosswalk,0.0
MEXICO,Mexico,MEX,domestic_crosswalk,0.0
MONTERREY,Mexico,MTY,domestic_crosswalk,0.0
MORELIA,Mexico,MLM,domestic_crosswalk,0.0
OAXACA,Mexico,OAX,domestic_crosswalk,0.0
PUEBLA,Mexico,PBC,domestic_crosswalk,0.0
PUERTO ESCONDIDO,Mexico,PXM,domestic_crosswalk,0.0
PUERTO VALLARTA,Mexico,PVR,domestic_crosswalk,0.0
QUERETARO,Mexico,QRO,domestic_crosswalk,0.0
SAN JOSÉ DEL CABO,Mexico,SJD,domestic_crosswalk,0.0
SAN LUIS POTOSI,Mexico,SLP,domestic_crosswalk,0.0
SANTA LUCÍA,Mexico,NLU,domestic_crosswalk,0.0
TAMPICO,Mexico,TAM,domestic_crosswalk,0.0
TEPIC,Mexico,TPQ,domestic_crosswalk,0.0
TIJUANA,Mexico,TIJ,domestic_crosswalk,0.0
TOLUCA,Mexico,TLC,domestic_crosswalk,0.0
TORREON,Mexico,TRC,domestic_crosswalk,0.0
TULUM,Mexico,TQO,domestic_crosswalk,0.0
URUAPAN,Mexico,UPN,domestic_crosswalk,0.0
VERACRUZ,Mexico,VER,domestic_crosswalk,0.0
ZACATECAS,Mexico,ZCL,domestic_crosswalk,0.0
MANAGUA,Nicaragua,MGA,city_exact,0.0
AMSTERDAM,Paises Bajos,AMS,city_exact,0.0
PANAMA,Panama,PTY,override_airport,0.0
LIMA,Peru,LIM,city_exact,0.0
LISBON,Portugal,LIS,city_exact,0.0
DOHA,Qatar,DIA,city_exact,4.5
DOHA,Qatar,DOH,city_exact,4.5
BELFAST,Reino Unido,BFS,city_exact,22.5
BELFAST,Reino Unido,BHD,city_exact,22.5
"BIRMINGHAM, INGLATERRA",Reino Unido,BHX,override_city,0.0
"Cardiff, Glamorgan",Reino Unido,CWL,override_city,0.0
GLASGOW,Reino Unido,GLA,city_exact,0.0
LONDRES,Reino Unido,BQH,override_city,43.0
LONDRES,Reino Unido,LCY,override_city,43.0
LONDRES,Reino Unido,LGW,override_city,43.0
LONDRES,Reino Unido,LHR,override_city,43.0
MANCHESTER,Reino Unido,MAN,override_city,0.0
NEWCASTLE,Reino Unido,NCL,override_city,0.0
PUNTA CANA,Republica Dominicana,PUJ,city_exact,0.0
"SANTO DOMINGO,REP DOM",Republica Dominicana,SDQ,override_city,0.0
ZURICH,Suiza,ZRH,city_exact,0.0
ESTAMBUL (ARNAVUTKOY),Turquia,IST,override_airport,0.0
CARACAS,Venezuela,CCS,override_airport,0.0
"VALENCIA, Venezuela",Venezuela,VLN,override_city,0.0
